mr,ref
"day[0 1], month[9], year[2005]","It is September one in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[6], year[2011]","Today is four June 2011 .","-1 -1 0 2 3 -1"
"day[2 2], month[2], year[2015]","Today is February twenty two , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[0 2], month[9], year[2017]","Today is September the second , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[2 4], month[4], year[2019]","It is the twenty fourth of April , 2019 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 4], month[1], year[2006]","The date is the fourteenth of January , 2006 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[4], year[2007]","The date is the fifth of April , 2007 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 2], month[10], year[2012]","Today is the second of October in the year 2012 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[6], year[2009]","The date is twenty nine June 2009 .","-1 -1 -1 0 0 2 3 -1"
"day[1 3], month[3], year[2014]","It is March the thirteenth of the year 2014 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 6], month[2], year[2008]","It is the sixteenth of February , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[9], year[2012]","It is the twenty sixth of September , 2012 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 8], month[12], year[2017]","Today is twenty eight December of the year 2017 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 2], month[9], year[2004]","It is September twenty two , 2004 .","-1 -1 2 0 0 4 3 -1"
"day[2 6], month[10], year[2014]","It is the twenty sixth of October , 2014 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 0], month[5], year[2018]","The date is May the twentieth , 2018 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 0], month[8], year[2011]","The date is August ten in the year 2011 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[7], year[2004]","It is July twenty nine , 2004 .","-1 -1 2 0 0 4 3 -1"
"day[1 6], month[7], year[2009]","It is sixteen July 2009 .","-1 -1 0 2 3 -1"
"day[0 9], month[10], year[2006]","It is October nine , 2006 .","-1 -1 2 0 4 3 -1"
"day[0 2], month[2], year[2014]","The date is February the second of the year 2014 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[2], year[2000]","It is the twelfth of February in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[4], year[2013]","Today is April thirty , 2013 .","-1 -1 2 0 4 3 -1"
"day[0 4], month[8], year[2004]","It is August the fourth of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
