mr,ref
"day[2 1], month[6], year[2008]","Today is twenty one June of the year 2008 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 9], month[8], year[2007]","The date is nineteen August of the year 2007 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[9], year[2009]","The date is September the twelfth , 2009 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 8], month[9], year[2005]","The date is September the eighteenth , 2005 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 8], month[11], year[2000]","The date is November eight in the year 2000 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[10], year[2006]","Today is the twentieth of October , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 8], month[7], year[2003]","It is July the eighth , 2003 .","-1 -1 2 -1 1 4 3 -1"
"day[2 3], month[12], year[2012]","The date is December twenty three , 2012 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 1], month[2], year[2000]","It is February the first , 2000 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[7], year[2019]","The date is the fourteenth of July in the year 2019 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[1], year[2012]","Today is sixteen January of the year 2012 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[1], year[2012]","It is three January 2012 .","-1 -1 0 2 3 -1"
"day[1 3], month[1], year[2014]","Today is thirteen January 2014 .","-1 -1 0 2 3 -1"
"day[2 7], month[8], year[2003]","Today is August the twenty seventh , 2003 .","-1 -1 2 -1 1 1 4 3 -1"
"day[3 0], month[5], year[2002]","It is May the thirtieth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[3 1], month[9], year[2013]","Today is the thirty first of September , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 2], month[3], year[2010]","The date is the twelfth of March in the year 2010 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[10], year[2001]","It is October one in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[8], year[2015]","It is August twenty one in the year 2015 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[1], year[2020]","Today is January twenty two in the year 2020 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 5], month[6], year[2014]","Today is June the fifth , 2014 .","-1 -1 2 -1 1 4 3 -1"
"day[2 8], month[4], year[2000]","Today is April twenty eight in the year 2000 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 9], month[1], year[2005]","It is the nineteenth of January , 2005 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 7], month[7], year[2011]","The date is seven July of the year 2011 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[9], year[2018]","The date is September three in the year 2018 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[8], year[2009]","Today is the twenty sixth of August , 2009 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 2], month[1], year[2006]","It is January the twenty second , 2006 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 5], month[10], year[2019]","The date is the fifteenth of October in the year 2019 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[8], year[2016]","Today is the nineteenth of August in the year 2016 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[6], year[2015]","The date is June the nineteenth , 2015 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 1], month[9], year[2016]","The date is September the eleventh of the year 2016 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[9], year[2008]","Today is the twenty sixth of September , 2008 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 9], month[3], year[2011]","Today is March twenty nine , 2011 .","-1 -1 2 0 0 4 3 -1"
"day[0 4], month[2], year[2015]","The date is four February 2015 .","-1 -1 -1 0 2 3 -1"
"day[0 1], month[9], year[2011]","The date is one September 2011 .","-1 -1 -1 0 2 3 -1"
"day[2 4], month[7], year[2002]","Today is twenty four July 2002 .","-1 -1 0 0 2 3 -1"
"day[1 2], month[10], year[2007]","Today is October the twelfth , 2007 .","-1 -1 2 -1 1 4 3 -1"
"day[0 9], month[1], year[2003]","Today is nine January of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[10], year[2019]","The date is two October of the year 2019 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 9], month[5], year[2000]","The date is May the twenty ninth , 2000 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[3 1], month[2], year[2007]","It is February the thirty first of the year 2007 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 1], month[11], year[2016]","The date is November the first , 2016 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 3], month[6], year[2001]","Today is June thirteen , 2001 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[6], year[2015]","It is twenty nine June 2015 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[1], year[2002]","It is January thirteen , 2002 .","-1 -1 2 0 4 3 -1"
"day[0 6], month[10], year[2020]","It is the sixth of October , 2020 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[11], year[2007]","It is November the twenty sixth of the year 2007 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 0], month[5], year[2018]","The date is the tenth of May in the year 2018 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[11], year[2010]","Today is the sixth of November in the year 2010 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[11], year[2005]","Today is the tenth of November , 2005 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[9], year[2008]","The date is sixteen September of the year 2008 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 8], month[12], year[2007]","The date is December the eighth of the year 2007 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 0], month[2], year[2017]","The date is February the tenth of the year 2017 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[11], year[2001]","The date is November the thirty first of the year 2001 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 7], month[7], year[2014]","It is July seventeen , 2014 .","-1 -1 2 0 4 3 -1"
"day[1 4], month[12], year[2016]","The date is fourteen December 2016 .","-1 -1 -1 0 2 3 -1"
"day[0 8], month[8], year[2016]","It is the eighth of August in the year 2016 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[3], year[2017]","It is March thirty one , 2017 .","-1 -1 2 0 0 4 3 -1"
"day[1 0], month[3], year[2020]","The date is March ten , 2020 .","-1 -1 -1 2 0 4 3 -1"
"day[3 1], month[2], year[2014]","Today is February thirty one in the year 2014 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 2], month[4], year[2000]","The date is April the second of the year 2000 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[3], year[2008]","The date is nineteen March 2008 .","-1 -1 -1 0 2 3 -1"
"day[1 7], month[10], year[2019]","Today is the seventeenth of October in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[4], year[2008]","The date is April one in the year 2008 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[3], year[2020]","Today is March twenty six in the year 2020 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[3 1], month[4], year[2011]","The date is the thirty first of April in the year 2011 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[9], year[2008]","It is the twenty eighth of September in the year 2008 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[3], year[2005]","The date is March the twenty second , 2005 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 6], month[12], year[2008]","Today is the sixteenth of December , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 3], month[2], year[2014]","Today is the third of February in the year 2014 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[11], year[2019]","The date is November ten in the year 2019 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[2], year[2007]","Today is February thirty in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[10], year[2015]","Today is the twenty third of October , 2015 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 8], month[4], year[2014]","It is twenty eight April of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 2], month[7], year[2001]","The date is July twelve , 2001 .","-1 -1 -1 2 0 4 3 -1"
"day[1 7], month[12], year[2014]","The date is December the seventeenth , 2014 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 6], month[9], year[2007]","Today is the sixteenth of September , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 0], month[6], year[2014]","Today is the twentieth of June , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[2], year[2003]","The date is February the twenty fourth of the year 2003 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 3], month[2], year[2005]","It is February twenty three , 2005 .","-1 -1 2 0 0 4 3 -1"
"day[0 1], month[7], year[2006]","It is July one in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[7], year[2014]","It is July the twenty first , 2014 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 1], month[7], year[2001]","Today is July the first , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[1 2], month[4], year[2001]","The date is the twelfth of April , 2001 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[11], year[2017]","It is twenty five November 2017 .","-1 -1 0 0 2 3 -1"
"day[0 6], month[5], year[2009]","The date is six May 2009 .","-1 -1 -1 0 2 3 -1"
"day[2 6], month[7], year[2011]","It is July the twenty sixth , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 5], month[9], year[2006]","It is twenty five September 2006 .","-1 -1 0 0 2 3 -1"
"day[2 5], month[9], year[2010]","It is the twenty fifth of September , 2010 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 8], month[4], year[2013]","It is April the eighteenth , 2013 .","-1 -1 2 -1 1 4 3 -1"
"day[2 9], month[3], year[2015]","The date is March the twenty ninth , 2015 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 9], month[8], year[2007]","It is the nineteenth of August , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[12], year[2009]","The date is December twenty six in the year 2009 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 2], month[8], year[2008]","Today is August twelve , 2008 .","-1 -1 2 0 4 3 -1"
"day[1 9], month[4], year[2018]","Today is the nineteenth of April , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[12], year[2004]","Today is December seventeen , 2004 .","-1 -1 2 0 4 3 -1"
"day[2 6], month[12], year[2005]","Today is twenty six December of the year 2005 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 7], month[11], year[2018]","Today is November seven , 2018 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[4], year[2019]","Today is twelve April 2019 .","-1 -1 0 2 3 -1"
"day[1 3], month[7], year[2000]","It is July thirteen , 2000 .","-1 -1 2 0 4 3 -1"
"day[0 3], month[4], year[2004]","Today is April the third , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[1 9], month[8], year[2006]","Today is August the nineteenth of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[12], year[2002]","It is December twenty one in the year 2002 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 1], month[4], year[2002]","The date is twenty one April 2002 .","-1 -1 -1 0 0 2 3 -1"
"day[2 9], month[12], year[2004]","Today is the twenty ninth of December , 2004 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 3], month[5], year[2005]","The date is the thirteenth of May , 2005 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 1], month[11], year[2007]","The date is the twenty first of November in the year 2007 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[8], year[2019]","The date is August thirty one , 2019 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 6], month[3], year[2007]","It is March the twenty sixth , 2007 .","-1 -1 2 -1 1 1 4 3 -1"
"day[3 0], month[11], year[2006]","It is November the thirtieth of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[7], year[2018]","Today is the twenty seventh of July , 2018 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 5], month[8], year[2006]","It is August the fifteenth of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[8], year[2007]","It is August twenty five , 2007 .","-1 -1 2 0 0 4 3 -1"
"day[2 7], month[11], year[2000]","Today is November twenty seven , 2000 .","-1 -1 2 0 0 4 3 -1"
"day[2 8], month[7], year[2017]","It is the twenty eighth of July , 2017 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 1], month[3], year[2010]","The date is March the thirty first of the year 2010 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 1], month[10], year[2003]","It is October twenty one , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[1 2], month[1], year[2014]","Today is January the twelfth of the year 2014 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[8], year[2011]","The date is August the nineteenth , 2011 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 4], month[1], year[2020]","Today is the twenty fourth of January , 2020 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 2], month[11], year[2014]","It is two November of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 2], month[7], year[2009]","Today is July twenty two in the year 2009 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[3], year[2000]","It is twenty two March 2000 .","-1 -1 0 0 2 3 -1"
"day[2 6], month[8], year[2003]","Today is August twenty six in the year 2003 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 8], month[4], year[2015]","The date is April the eighteenth of the year 2015 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[12], year[2003]","It is December twenty eight , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[0 3], month[2], year[2005]","It is three February of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 1], month[11], year[2019]","It is the thirty first of November , 2019 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 0], month[5], year[2008]","Today is May ten in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[6], year[2014]","The date is the fourth of June in the year 2014 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[3], year[2008]","The date is March twenty six , 2008 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 5], month[3], year[2013]","It is the twenty fifth of March , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 7], month[4], year[2002]","The date is April seven , 2002 .","-1 -1 -1 2 0 4 3 -1"
"day[0 4], month[10], year[2013]","The date is four October 2013 .","-1 -1 -1 0 2 3 -1"
"day[1 0], month[6], year[2014]","It is June ten , 2014 .","-1 -1 2 0 4 3 -1"
"day[1 4], month[10], year[2011]","It is October the fourteenth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 5], month[3], year[2007]","Today is the fifth of March in the year 2007 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[12], year[2007]","Today is four December 2007 .","-1 -1 0 2 3 -1"
"day[1 7], month[5], year[2019]","It is the seventeenth of May , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 9], month[4], year[2012]","The date is April the twenty ninth , 2012 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 9], month[5], year[2007]","It is May twenty nine , 2007 .","-1 -1 2 0 0 4 3 -1"
"day[0 3], month[5], year[2004]","The date is May the third , 2004 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 9], month[7], year[2011]","Today is July the ninth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[12], year[2014]","The date is eight December 2014 .","-1 -1 -1 0 2 3 -1"
"day[2 5], month[1], year[2013]","The date is the twenty fifth of January in the year 2013 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[9], year[2012]","It is September the thirteenth , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[2 7], month[6], year[2007]","The date is June twenty seven , 2007 .","-1 -1 -1 2 0 0 4 3 -1"
"day[3 1], month[7], year[2011]","It is July the thirty first , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[3 1], month[2], year[2009]","Today is thirty one February of the year 2009 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 8], month[4], year[2008]","It is eight April of the year 2008 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[5], year[2005]","The date is twenty eight May 2005 .","-1 -1 -1 0 0 2 3 -1"
"day[2 0], month[10], year[2016]","It is the twentieth of October in the year 2016 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 4], month[12], year[2019]","It is the fourteenth of December in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[7], year[2017]","It is July twenty five in the year 2017 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 9], month[5], year[2001]","The date is twenty nine May of the year 2001 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 2], month[10], year[2006]","The date is twelve October of the year 2006 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[10], year[2016]","Today is twenty eight October of the year 2016 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 0], month[12], year[2020]","The date is December ten in the year 2020 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[5], year[2006]","It is the twentieth of May , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[5], year[2020]","It is May five in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[12], year[2013]","It is December the twenty ninth , 2013 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 8], month[8], year[2014]","Today is August the twenty eighth , 2014 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 1], month[7], year[2017]","Today is the first of July , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 3], month[4], year[2016]","It is April twenty three , 2016 .","-1 -1 2 0 0 4 3 -1"
"day[2 1], month[11], year[2014]","Today is twenty one November 2014 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[5], year[2017]","The date is the thirteenth of May in the year 2017 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 5], month[5], year[2016]","The date is May fifteen , 2016 .","-1 -1 -1 2 0 4 3 -1"
"day[0 5], month[7], year[2002]","It is July five in the year 2002 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[7], year[2017]","The date is the ninth of July , 2017 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[3], year[2001]","Today is March the fifth of the year 2001 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[4], year[2004]","The date is three April of the year 2004 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 9], month[10], year[2013]","The date is October twenty nine , 2013 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 7], month[1], year[2006]","The date is January seven , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[1 6], month[2], year[2001]","It is sixteen February 2001 .","-1 -1 0 2 3 -1"
"day[1 9], month[12], year[2008]","Today is December nineteen in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[12], year[2015]","The date is the nineteenth of December , 2015 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 0], month[4], year[2010]","The date is the twentieth of April , 2010 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 4], month[3], year[2011]","Today is March the fourteenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[2 6], month[4], year[2009]","The date is the twenty sixth of April in the year 2009 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[10], year[2013]","Today is October the twenty second , 2013 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 6], month[3], year[2012]","The date is March the sixth of the year 2012 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[4], year[2012]","The date is April one in the year 2012 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[4], year[2008]","It is twenty eight April 2008 .","-1 -1 0 0 2 3 -1"
"day[0 7], month[8], year[2008]","Today is August seven , 2008 .","-1 -1 2 0 4 3 -1"
"day[0 1], month[11], year[2001]","Today is November one , 2001 .","-1 -1 2 0 4 3 -1"
"day[0 9], month[4], year[2006]","Today is nine April 2006 .","-1 -1 0 2 3 -1"
"day[2 7], month[3], year[2006]","The date is March the twenty seventh , 2006 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[11], year[2015]","It is the eleventh of November in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 4], month[6], year[2012]","It is June twenty four , 2012 .","-1 -1 2 0 0 4 3 -1"
"day[2 9], month[10], year[2016]","The date is the twenty ninth of October in the year 2016 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[8], year[2019]","It is August the second of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[8], year[2016]","It is the eighteenth of August , 2016 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 8], month[8], year[2017]","The date is the twenty eighth of August in the year 2017 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[4], year[2000]","It is three April of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 5], month[4], year[2002]","It is April five , 2002 .","-1 -1 2 0 4 3 -1"
"day[3 1], month[5], year[2018]","Today is the thirty first of May , 2018 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 3], month[9], year[2018]","Today is September the twenty third of the year 2018 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
